    会議室 or  かいぎしつ 	meeting room	
    会場 or  かいじょう 	assembly hall or meeting place	
    会話 or  かいわ 	conversation	
    帰り or  かえり 	return	
    変える or  かえる 	to change	
    科学 or  かがく 	science	
    鏡 or  かがみ 	mirror	
    掛ける or  かける 	to hang something	
    飾る or  かざる 	to decorate	
    火事 or  かじ 	fire	
    ガス 	gas	
    堅 / 硬 or  固い or  かたい 	hard	
    形 or  かたち 	shape	
    片付ける or  かたづける 	to tidy up	
    課長 or  かちょう 	section manager	
    勝つ or  かつ 	to win	
    家内 or  かない 	housewife	
    悲しい or  かなしい 	sad	
    必ず or  かならず 	certainly or necessarily	
    お金持ち or  かねもち / おかねもち 	rich man	
    彼女 or  かのじょ 	she or girlfriend	
    壁 or  かべ 	wall	
    髪 or  かみ 	hair	
    噛む or  かむ 	to bite or to chew	
    通う or  かよう 	to commute	
    彼 or  かれ 	he or boyfriend	
    乾く or  かわく 	to get dry	
    代わり or  かわり 	substitute or alternate	
    変わる or  かわる 	to change	
    考える or  かんがえる 	to consider	
    関係 or  かんけい 	relationship	
    看護師 or  かんごし 	nurse	
    簡単 or  かんたん 	simple	
    気 or  き 	spirit or mood	
    機会 or  きかい 	opportunity	
    危険 or  きけん 	danger	
    聞こえる or  きこえる 	to be heard	
    汽車 or  きしゃ 	steam train	
    技術 or  ぎじゅつ 	art or technology or skill	
    季節 or  きせつ 	season	
    規則 or  きそく 	regulations	
    きっと 	surely	
    絹 or  きぬ 	silk	
    厳しい or  きびしい 	strict	
    気分 or  きぶん 	mood	
    決る or  きまる 	to be decided	
    君 or  きみ 	(informal) You	
    決める or  きめる 	to decide	
    気持ち or  きもち 	feeling or mood	
    着物 or  きもの 	kimono	
    客 or  きゃく 	guest or customer	
    急 or  きゅう 	urgent or  steep	
    急行 or  きゅうこう 	speedy or  express	
    教育 or  きょういく 	education	
    教会 or  きょうかい 	church	
    競争 or  きょうそう 	competition	
    興味 or  きょうみ 	an interest	
    近所 or  きんじょ 	neighbourhood	
    具合 or  ぐあい 	condition or health	
    空気 or  くうき 	air or atmosphere	
    空港 or  くうこう 	airport	
    草 or  くさ 	grass	
    首 or  くび 	neck	
    雲 or  くも 	cloud	
    比べる or  くらべる 	to compare	
    くれる 	to give	
    暮れる or  くれる 	to get dark or to come to an end	
    君 or  くん 	suffix for familiar young male	
    毛 or  け 	hair or fur	
    経済 or  けいざい 	finance or economy	
    警察 or  けいさつ 	police	
    景色 or  けしき 	scene or landscape	
    消しゴム or  けしゴム 	eraser	
    下宿 or  げしゅく 	lodging	
    決して or  けっして 	never	
    けれど / けれども 	however	
    原因 or  げんいん 	cause or source	
    けんかする 	to quarrel	
    研究 or  けんきゅう 	research	
    研究室 or  けんきゅうしつ 	study room or laboratory	
    見物 or  けんぶつ 	sightseeing	
    子 or  こ 	child	
    こう 	this way	
    郊外 or  こうがい 	outskirts	
    講義 or  こうぎ 	lecture	
    工業 or  こうぎょう 	the manufacturing industry	
    高校 or  こうこう 	high school	
    高校生 or  こうこうせい 	high school student	
    工場 or  こうじょう / こうば 	factory or plant or mill or workshop	
    校長 or  こうちょう 	headmaster	
    交通 or  こうつう 	traffic or transportation	
    講堂 or  こうどう 	auditorium	
    高等学校 or  こうとうがっこう 	high school	
    公務員 or  こうむいん 	civil servant or  government worker	
    国際 or  こくさい 	international	
    心 or  こころ 	heart or  mind or  core	
    御主人 or  ごしゅじん 	(honorable) your husband	
    故障 or  こしょうする 	to break	down
    ご存じ or  ごぞんじ 	(respect form ) to know	
    答 or  こたえ 	response	
    ごちそう 	a feast	
    小鳥 or  ことり 	small bird	
    このあいだ 	the other day or recently	
    このごろ 	these days or nowadays	
    細かい or  こまかい 	small or  fine	
    込む or  こむ 	to include	
    米 or  こめ 	uncooked rice	
    ごらんになる 	(respectful) to see	
    これから 	after this	
    怖い or  こわい 	frightening	
    壊す or  こわす 	to break	
    壊れる or  こわれる 	to be broken	
    今度 or  こんど 	now or next time	
    今夜 or  こんや 	tonight	
    最近 or  さいきん 	latest or nowadays	
    最後 or  さいご 	last or end	
    最初 or  さいしょ 	beginning or first	
    坂 or  さか 	slope or hill	
    探す or  さがす 	to look for	
    下る or  さがる 	to get down or to descend	
    盛ん or  さかん 	popularity or prosperous	
    下げる or  さげる 	to hang or to lower or to move back	
    差し上げる or  さしあげる 	(polite) to give	
    さっき 	some time ago	
    寂しい or  さびしい 	lonely	
    さ来月 or  さらいげつ 	the month after next	
    さ来週 or  さらいしゅう 	the week after next	
    騒ぐ or  さわぐ 	to make noise or to be excited	
    触る or  さわる 	to touch	
    産業 or  さんぎょう 	industry	
    残念 or  ざんねん 	disappointment	
    市 or  し 	city	
    字 or  じ 	character	
    試合 or  しあい 	match or game	
    仕方 or  しかた 	method	
    試験 or  しけん 	examination	
    事故 or  じこ 	accident	
    地震 or  じしん 	earthquake	
    時代 or  じだい 	era	
    下着 or  したぎ 	underwear	
    しっかり 	firmly or steadily	
    失敗 or  しっぱい 	failure or mistake	
    辞典 or  じてん 	dictionary	
    品物 or  しなもの 	goods	
    しばらく 	little while	
    島 or  しま 	island	
    市民 or  しみん 	citizen	
    事務所 or  じむしょ 	office	
    社会 or  しゃかい 	society or public	
    社長 or  しゃちょう 	company president	
    自由 or  じゆう 	freedom	
    習慣 or  しゅうかん 	custom or manners	
    住所 or  じゅうしょ 	an address or a residence	
    柔道 or  じゅうどう 	judo	
    十分 or  じゅうぶん 	enough	
    趣味 or  しゅみ 	hobby	
    紹介 or  しょうかい 	introduction	
    小学校 or  しょうがっこう 	elementary school	
    小説 or  しょうせつ 	novel	
    将来 or  しょうらい 	future or prospects	
    食料品 or  しょくりょうひん 	groceries	
    女性 or  じょせい 	woman	
    知らせる or  しらせる 	to notify	
    調べる or  しらべる 	to investigate	
    人口 or  じんこう 	population	
    神社 or  じんじゃ 	Shinto shrine	
    親切 or  しんせつ 	kindness	
    新聞社 or  しんぶんしゃ 	newspaper company	
    水泳 or  すいえい 	swimming	
    水道 or  すいどう 	water supply	
    数学 or  すうがく 	mathematics or arithmetic	
    過ぎる or  すぎる 	to exceed	
    凄い or  すごい 	terrific	
    進む or  すすむ 	to make progress	
    すっかり 	completely	
    すっと 	straight or all of a sudden	
    捨てる or  すてる 	to throw away	
    砂 or  すな 	sand	
    滑る or  すべる 	to slide or to slip	
    隅 or  すみ 	corner or nook	
    済む or  すむ 	to finish	
    すり 	pickpocket	
    すると 	then	
    生活 or  せいかつする 	to live	
    生産 or  せいさんする 	to produce	
    政治 or  せいじ 	politics or government	
    西洋 or  せいよう 	western countries	
    世界 or  せかい 	the world	
    席 or  せき 	seat	
    説明 or  せつめい 	explanation	
    背中 or  せなか 	back of the body	
    線 or  せん 	line	
    戦争 or  せんそう 	war	
    先輩 or  せんぱい 	senior	
    そう 	really	
    育てる or  そだてる 	to rear or to bring up	
    卒業 or  そつぎょう 	graduation	
    祖父 or  そふ 	grandfather	
    祖母 or  そぼ 	grandmother	
    それで 	because of that	
    それに 	moreover	
    それほど 	to that extent	
    そろそろ 	gradually or soon	
    そんな 	that sort of	
    そんなに 	so much or like that	
    退院 or  たいいんする 	to leave hospital	
    大学生 or  だいがくせい 	university student	
    大事 or  だいじ 	important or valuable or serious matter	
    大体 or  だいたい 	generally	
    たいてい 	usually	
    大分 or  だいぶ 	greatly	
    台風 or  たいふう 	typhoon	
    倒れる or  たおれる 	to break down	
    だから 	so or therefore	
    確か or  たしか 	definite	
    足す or  たす 	to add a number	
    訪ねる or  たずねる 	to visit	
    尋ねる or  たずねる 	to ask	
    正しい or  ただしい 	correct	
    畳 or  たたみ 	Japanese straw mat	
    立てる or  たてる 	to stand something up	
    建てる or  たてる 	to build	
    例えば or  たとえば 	for example	
    棚 or  たな 	shelves	
    楽しみ or  たのしみ 	joy	
    楽む or  たのしむ 	to enjoy oneself	
    たまに 	occasionally	
    為 or  ため 	in order to	
    足りる or  たりる 	to be enough	
    男性 or  だんせい 	male	
    暖房 or  だんぼう 	heating	
    血 or  ち 	blood	
    チェックする 	to check	
    力 or  ちから 	strength or power	
    ちっとも 	not at all (used with a negative verb)	
    ちゃん 	suffix for familiar person	
    注意 or  ちゅうい 	caution	
    中学校 or  ちゅうがっこう 	junior high school or middle school	
    注射 or  ちゅうしゃ 	injection	
    駐車場 or  ちゅうしゃじょう 	parking lot	
    地理 or  ちり 	geography	
    捕まえる or  つかまえる 	to seize	
    付く or  つく 	to be attached	
    漬ける or  つける 	to soak or to pickle	
    都合 or  つごう 	circumstances or convenience	
    伝える or  つたえる 	to report	
    続く or  つづく 	to be continued	
    続ける or  つづける 	to continue	
    包む or  つつむ 	to wrap	
    妻 or  つま 	my wife	
    つもり 	intention	
    釣る or  つる 	to fish	
    丁寧 or  ていねい 	polite	
    適当 or  てきとう 	suitability	
    手伝う or  てつだう 	to assist	
    手袋 or  てぶくろ 	glove	
    寺 or  てら 	temple	
    点 or  てん 	point or dot	
    店員 or  てんいん 	shop assistant	
    天気予報 or  てんきよほう 	weather forecast	
    電灯 or  でんとう 	electric light	
    電報 or  でんぽう 	telegram	
    展覧会 or  てんらんかい 	exhibition	
    都 or  と 	metropolitan	
    道具 or  どうぐ 	tool or means	
    とうとう 	finally or  after all	
    動物園 or  どうぶつえん 	zoo	
    遠く or  とおく 	distant	
    通る or  とおる 	to go through	
    特に or  とくに 	particularly or especially	
    特別 or  とくべつ 	special	
    とこや 	barber	
    途中 or  とちゅう 	on the way	
    特急 or  とっきゅう 	limited express train (faster than an express train)	
    届ける or  とどける 	to send or  to deliver or  to report	
    泊まる or  とまる 	to lodge at	
    止める or  とめる 	to stop something	
    取り替える or  とりかえる 	to exchange	
    泥棒 or  どろぼう 	thief	
    どんどん 	more and more	
    直す or  なおす 	to fix or to repair	
    直る or  なおる 	to be fixed or to be repaired	
    治る or  なおる 	to be cured or to heal	
    泣く or  なく 	to weep	
    無くなる or  なくなる 	to disappear or to get lost	
    亡くなる or  なくなる 	to die	
    投げる or  なげる 	to throw or cast away	
    なさる 	(respectful) to do	
    鳴る or  なる 	to sound	
    なるべく 	as much as possible	
    なるほど 	now I understand	
    慣れる or  なれる 	to grow accustomed to	
    苦い or  にがい 	bitter	
    二階建て or  にかいだて 	two storied	
    逃げる or  にげる 	to escape	
    日記 or  にっき 	journal	
    入院 or  にゅういんする 	to hospitalise or  hospitalisation	
    入学 or  にゅうがくする 	to enter school or university	
    似る or  にる 	to be similar	
    人形 or  にんぎょう 	doll or  figure	
    盗む or  ぬすむ 	to steal	
    塗る or  ぬる 	to paint or  to colour or  to plaster	
    ぬれる 	to get wet	
    ねだん 	price	
    熱 or  ねつ 	fever	
    寝坊 or  ねぼう 	sleeping in late	
    眠い or  ねむい 	sleepy	
    眠る or  ねむる 	to sleep	
    残る or  のこる 	to remain	
    乗り換える or  のりかえる 	to change between buses or trains	
    乗り物 or  のりもの 	vehicle	
    葉 or  は 	leaf	
    場合 or  ばあい 	situation	
    倍 or  ばい 	double	
    拝見 or  はいけんする 	(humble) to look at	
    歯医者 or  はいしゃ 	dentist	
    運ぶ or  はこぶ 	to transport	
    始める or  はじめる 	to begin	
    場所 or  ばしょ 	location	
    はず 	it should be so	
    恥ずかしい or  はずかしい 	embarrassed	
    発音 or  はつおん 	pronunciation	
    はっきり 	clearly	
    花見 or  はなみ 	cherry	blossom viewing
    林 or  はやし 	woods or forester	
    払う or  はらう 	to pay	
    番組 or  ばんぐみ 	television or radio program	
    反対 or  はんたい 	opposition	
    日 or  ひ 	day or  sun	
    火 or  ひ 	fire	
    冷える or  ひえる 	to grow cold	
    光 or  ひかり 	light	
    光る or  ひかる 	to shine or to glitter	
    引き出し or  ひきだし 	drawer or drawing out	
    ひきだす 	to withdraw	
    ひげ 	beard	
    飛行場 or  ひこうじょう 	airport	
    久しぶり or  ひさしぶり 	after a long time	
    美術館 or  びじゅつかん 	art gallery	
    非常に or  ひじょうに 	extremely	
    引っ越す or  ひっこす 	to move house	
    必要 or  ひつよう 	necessary	
    ひどい 	awful	
    開く or  ひらく 	to open an event	
    昼間 or  ひるま 	daytime or during the day	
    昼休み or  ひるやすみ 	noon break	
    拾う or  ひろう 	to pick up or to gather	
    増える or  ふえる 	to increase	
    深い or  ふかい 	deep	
    複雑 or  ふくざつ 	complexity or complication	
    復習 or  ふくしゅう 	revision	
    部長 or  ぶちょう 	head of a section	
    普通 or  ふつう 	usually or  or a train that stops at every station	
    ぶどう 	grapes	
    太る or  ふとる 	to become fat	
    布団 or  ふとん 	Japanese bedding or  futon	
    舟 or  ふね 	ship	
    不便 or  ふべん 	inconvenience	
    踏む or  ふむ 	to step on	
    降り出す or  ふりだす 	to start to rain	
    文化 or  ぶんか 	culture	
    文学 or  ぶんがく 	literature	
    文法 or  ぶんぽう 	grammar	
    別 or  べつ 	different	
    変 or  へん 	strange	
    返事 or  へんじ 	reply	
    貿易 or  ぼうえき 	trade	
    法律 or  ほうりつ 	law	
    僕 or  ぼく 	I (used by males)	
    星 or  ほし 	star	
    ほとんど 	mostly	
    ほめる 	to praise	
    翻訳 or  ほんやく 	translation	
    参る or  まいる 	(humble) to go or to come	
    負ける or  まける 	to lose	
    または 	or or otherwise	
    間違える or  まちがえる 	to make a mistake	
    間に合う or  まにあう 	to be in time for	
    周り or  まわり 	surroundings	
    回る or  まわる 	to go around	
    漫画 or  まんが 	comic	
    真中 or  まんなか 	middle	
    見える or  みえる 	to be in sight	
    湖 or  みずうみ 	lake	
    味噌 or  みそ 	miso or  soybean paste	
    見つかる or  みつかる 	to be discovered	
    見つける or  みつける 	to discover	
    皆 or  みな 	everybody	
    港 or  みなと 	harbour	
    向かう or  むかう 	to face	
    迎える or  むかえる 	to go out to meet	
    昔 or  むかし 	old times or  old days or  long ago or  formerly	
    虫 or  むし 	insect	
    息子 or  むすこ 	(humble) son	
    娘 or  むすめ 	(humble) daughter	
    無理 or  むり 	impossible	
    召し上がる or  めしあがる 	(polite) to eat	
    珍しい or  めずらしい 	rare	
    申し上げる or  もうしあげる 	(humble) to say or to tell	
    申す or  もうす 	(humble) to be called or to say	
    もうすぐ 	soon	
    もし 	if	
    戻る or  もどる 	to turn back	
    木綿 or  もめん 	cotton	
    森 or  もり 	forest	
    焼く or  やく 	to bake or to grill	
    約束 or  やくそく 	promise	
    役に立つ or  やくにたつ 	to be helpful	
    焼ける or  やける 	to burn or to be roasted	
    優しい or  やさしい 	kind	
    痩せる or  やせる 	to become thin	
    やっと 	at last	
    止む or  やむ 	to stop	
    止める or  やめる 	to stop	
    柔らかい or  やわらかい 	soft	
    湯 or  ゆ 	hot water	
    指 or  ゆび 	finger	
    指輪 or  ゆびわ 	a ring	
    夢 or  ゆめ 	dream	
    揺れる or  ゆれる 	to shake or to sway	
    用 or  よう 	use	
    用意 or  ようい 	preparation	
    用事 or  ようじ 	things to do	
    汚れる or  よごれる 	to get dirty	
    予習 or  よしゅう 	preparation for a lesson	
    予定 or  よてい 	arrangement	
    予約 or  よやく 	reservation	
    寄る or  よる 	to visit	
    喜ぶ or  よろこぶ 	to be delighted	
    理由 or  りゆう 	reason	
    利用 or  りよう 	utilization	
    両方 or  りょうほう 	both sides	
    旅館 or  りょかん 	Japanese hotel	
    留守 or  るす 	absence	
    冷房 or  れいぼう 	air conditioning	
    歴史 or  れきし 	history	
    連絡 or  れんらく 	contact	
    沸かす or  わかす 	to boil or to heat	
    別れる or  わかれる 	to separate	
    沸く or  わく 	to boil or  to grow hot or to get excited	
    訳 or  わけ 	meaning or reason	
    忘れ物 or  わすれもの 	lost article	
    笑う or  わらう 	to laugh or to smile	
    割合 or  わりあい 	rate or ratio or percentage	
    割れる or  われる 	to break	
    アクセサリー 	accessory	
    アジア 	Asia	
    アナウンサー 	announcer	
    アフリカ 	Africa	
    アメリカ 	America	
    アルコール 	alcohol	
    アルバイト 	part	time job
    エスカレーター 	escalator	
    オートバイ 	motorcycle	
    カーテン 	curtain	
    ガス 	gas	
    ガソリン 	petrol	
    ガソリンスタンド 	petrol station	
    ガラス 	a glass pane	
    ケーキ 	cake	
    消しゴム or  けしゴム 	eraser or  rubber	
    コンサート 	concert	
    コンピューター 	computer	
    サラダ 	salad	
    サンダル 	sandal	
    サンドイッチ 	sandwich	
    ジャム 	jam	
    スーツ 	suit	
    スーツケース 	suitcase	
    スクリーン 	screen	
    ステーキ 	steak	
    ステレオ 	stereo	
    ソフト 	soft	
    タイプ 	type or style	
    チェックする 	to check	
    テキスト 	text or text book	
    テニス 	tennis	
    パート 	part time	
    パソコン 	personal computer	
    ハンドバッグ 	handbag　	
    ピアノ 	piano	
    ビル 	building or bill	
    ファックス 	fax	
    プレゼント 	present	
    ベル 	bell	
    レジ 	register	
    レポート / リポート 	report	
    ワープロ 	word processor	
